AccountingFirm,Address,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Chairman,CompanyAbbreviation,CompanyName,Date,DateOfIncorporation,DateOfListing,DeputySpokesperson,EmailAddress,Fax,GeneralManager,IssueShares,Paidin.Capital.NTDollars,ParValueOfCommonStock,PreferredStock.shares,PreparationOfFinancialReportType,PrivateStock.shares,Registration,SecuritiesCompanyCode,SecuritiesIndustryCode,Spokesman,StockTransferAgent,StockTransferAgentAddress,StockTransferAgentTelephone,Symbol,Telephone,TitleOfSpokesman,UnifiedBusinessNo.,WebAddress
資誠會計師事務所,"14F-6  No.925, Sec. 4, Taiwan Boulevard, Xitun DistTaichung, Taiwan, R.O.C",賴志維,王玉娟,黃 (方方土) 芳,海德威,海德威電子工業股份有限公司,1150904,19910413,20050127,楊仁德,fina.inve@higherway.com.tw,(04)2355-0022,游賜傑,34720796,347207960,新台幣                 10.0000元,0,1,0,－ ,3268,24,游賜傑,台新證券股務代理部,台北市建國北路一段96號B1,(02)2504-8125,Higher Way,(04)2355-0011,總經理,86105539,www.higherway.com.tw
資誠聯合會計師事務所,"3F-4 NO.131,LANE 235,Pau-Chiao Rd.,Hsin-Tien  DistrictNew Taipei City,Taiwan, R.O.C.",于智帆,黃世鈞,曹賜正,東碩,東碩資訊股份有限公司,1150904,19930204,20140826,施&#21843;寅,ir@goodway.com.tw,89191220,曹賜正(暫代),61176789,611767890,新台幣                 10.0000元,0,1,0,－ ,3272,25,巫坤憲,兆豐證券股份有限公司,台北市中正區忠孝東路二段95號1樓,02-3393-0898,GW,89191200,資深協理,84126144,www.goodway.com.tw
安侯建業聯合會計師事務所,"No.12, Gongye 2nd Rd.,Pingzhen Dist.,Taoyuan City 324, Taiwan (R.O.C.)",陳宜君,江曉苓,李明熹,宇環,宇環科技股份有限公司,1150904,19991229,20050112,劉菊珍,carol@tpt-pcb.com.tw,03-4698277,李明熹,69712666,697126660,新台幣                 10.0000元,0,1,0,－ ,3276,28,余秀珍,福邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,02-23711658,tht,03-4698860,行政處處長,70684527,http://www.tht-pcb.com.tw
安永聯合會計師事務所,"No. 20, Jui-Kuan 2nd St., Ta-Fa lnd. Dist., Kaohsiung ,  Taiwan 831 R.O.CKaohsiung ,  Taiwan 831 R.O.C",洪國森,李芳文,呂金發,太普高,太普高精密影像股份有限公司,1150904,19981021,20050322,呂品學,partner@pstop.com.tw,07-7870942,侯景文,108482473,1084824730,新台幣                 10.0000元,0,1,0,－ ,3284,20,侯景文,永豐金證券股份有限公司,100台北市中正區博愛路17號3樓,02-23816288,TOP,07-7877690,總經理,16469727,https://www.ctptop.com.tw/
勤業眾信聯合會計師事務所,"12Fl, No31, Lane169, Kang Ning St.,Xizhi, New Taipei City , Taiwan, R.O.C.",池瑞全,蔡宗遠,陳曉華,微端,微端科技股份有限公司,1150904,19950727,20120723,郭仲銓,sky@microtips.com.tw,(02)2695-8625,魯景岱,42735324,427353240,新台幣                 10.0000元,0,1,0,－ ,3285,31,張志彬,富邦綜合證券股份有限公司,臺北市中正區許昌街17號11樓,02-2361-1300,MT,(02)2692-3889,業務處長,89649873,www.microtips.com.tw
安永聯合會計師事務所,"6F., No.113, Jian 2nd Rd., Jhonghe Dist., 235New Taipei City , Taiwan (R.O.C.)",王慕凡,林素雯,王忠傑,廣寰科,廣寰科技股份有限公司,1150904,19990510,20080128,林惠津,annie@kworld.com.tw,(02)8221-6856,黃智宏,43970483,439704830,新台幣                 10.0000元,0,1,0,－ ,3287,25,王桂英,永豐金證券股份有限公司,台北市博愛路17號3樓,(02)2381-6288,Kworld,(02)8228-6088,總經理室特助,70360251,www.kworld.com.tw
德昌聯合會計師事務所,"9-4F-3 Prosperity Road I Science-Based Industrrial ParkHsinchu, Taiwan 300, R.O.C.",陳秀莉,陳裕勳,金際遠,點晶,點晶科技股份有限公司,1150904,19961227,20050415,賴恬忻,tiffany@siti.com.tw,03-5645626,金際遠,16380000,163800000,新台幣                 10.0000元,0,1,3544602,－ ,3288,28,金際遠,群益金鼎證券股份有限公司,台北市敦化南路二段97號地下二樓,02-27023999,SiTI,03-5645656,董事長,97334073,www.siti.com.tw
勤業眾信聯合會計師事務所,"1F,NO.22,Pu-ding Rd.,Hsin-Chu  City, Taiwan, R.O.C",&#28201;智源,張雅芸,余維斌,宜特,宜特科技股份有限公司,1150904,19940309,20041228,邱鈺婷,ir@istgroup.com,(03)6662793,余維斌,86746371,867463710,新台幣                 10.0000元,0,1,600000,－ ,3289,31,林榆桑,兆豐證券股務代理部,台北市忠孝東路二段九十五號一樓,(02)3393-0898,IST,(03)5799909,財務長,89845410,www.istgroup.com
安侯建業聯合會計師事務所,"No. 58, Sec. 2, Changxing Rd.,Luzhu Dist., Taoyuan City",陳燕慧,陳政學,戴建樟,東浦,東浦精密光電股份有限公司,1150904,19950308,20050519,支國元,spokesman@donpon.com,(03)3240999,戴建樟,90215034,902150340,新台幣                 10.0000元,0,1,9800000,－ ,3290,28,簡雅惠,凱基證券股份有限公司,10044台北市中正區重慶南路一段2號5樓,(02)23892999,DONPON,(03)3249666,協理,89347602,www.donpon.com
勤業眾信聯合會計師事務所,"No.130, Wugong Rd., Wugu Dist.,New Taipei City 248, Taiwan (R.O.C.)",周仕杰,李東峰,李柯柱,鈊象,鈊象電子股份有限公司,1150904,19891110,20060712,陳阿見,vickysung@igs.com.tw,(02)22901394,江順成,281801560,2818015600,新台幣                 10.0000元,0,1,0,－ ,3293,32,江順成,群益金鼎證券(股)公司,台北市大安區敦化南路二段97號B2,(02)2702-3999,IGS,(02)22995048,總經理,23519738,www.igs.com.tw
安侯建業聯合會計師事務所,"17F-4., No.16, Jian 8th Rd.Zhonghe Dist., NewTaipei City,Taiwan,ROC",尹元聖,許詩淳,徐文麟,英濟,英濟股份有限公司,1150904,19911015,20070427,黃燕華,grace_huang@megaforce.com.tw,(02)8226-3569,姜同會,132015919,1320159190,新台幣                 10.0000元,0,1,0,－ ,3294,28,張嘉正,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,(02)6636-5566,Megaforce,(02)8226-5118,財務長,86362776,www.megaforce.com.tw
資誠聯合會計師事務所,"9F, No.171, Sec. 2, Datong Rd., Xizhi Dist.,New Taipei City 22183, Taiwan",陳憲正,林瑟凱,鄭子釗,杭特,杭特電子股份有限公司,1150904,19881128,20050607,鄭翠鈴,investor@hunt.com.tw,(02)8692-6678,李新榮,36049445,360494450,新台幣                 10.0000元,0,1,0,－ ,3297,26,顏志全,台新證券股務代理部,台北市建國北路一段96號地下一樓,02-25048125,Hunt,(02)8692-7999,總經理室特別助理,23133690,www.hunt.com.tw
安永聯合會計師事務所,"No. 383, Mayou Rd., Madou Dist.,Tainan City 721013 , Taiwan R.O.C.",胡子仁,姚世傑,蔡國龍,岱稜,岱稜科技股份有限公司,1150904,19900829,20070528,王淑瀅,ir@univacco.com,06-5702195,李顯昌,94790607,947906070,新台幣                 10.0000元,0,1,0,－ ,3303,31,李怡君,福邦證券股務代理部,台北市中正區忠孝西路一段6號6樓,02-2371-1658,UNIVACCO,06-5703853,財務處處長,23842911,https://www.univacco.com.tw/
安侯建業聯合會計師事務所,"8F,No 40 Wen Hwa 2nd Rd.,Kuei ShanTao Yuan,Taiwan,R.O.C",陳盈如,陳宜君,達啟投資股份有限公司:指派代表馬惠群,鼎天,鼎天國際股份有限公司,1150904,19971223,20050705,張佑華,finance@royaltek.com,(03)396-0065,蕭明昌,50607702,506077020,新台幣                 10.0000元,0,1,0,－ ,3306,27,黃凱崙,兆豐證券股份有限公司,台北市忠孝東路二段95號1樓,(02)3393-0898,RoyalTek,(03)396-0001,財務長,16433708,www.royaltek.com/tw/
安侯建業聯合會計師事務所,"NO. 110, Sec. 2, Heping W. Rd., Dayuan Dist.,Taoyuan City 337, Taiwan, R.O.C.",張淑瑩,潘俊名,林坡圳,佳穎,佳穎精密企業股份有限公司,1150904,19880620,20080627,林坡圳,anson.tsai@chialin.com.tw,03-3866238,蔡東&#21234;,74948402,749484020,新台幣                 10.0000元,0,1,0,－ ,3310,28,蔡東&#21234;,褔邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,02-2371-1658,CHIALIN,03-3858181,總經理,22948084,www.chialin.com.tw
安侯建業聯合會計師事務所,"Rm. 2, 11F., No. 248, Sec. 2, Yonghua Rd., Anping Dist.,Tainan City 708008, Taiwan (R.O.C.)",高鈺倫,陳永祥,張祐銘,斐成,斐成開發科技股份有限公司,1150904,19931202,20060529,蔡雅如,fce_01@yahoo.com,06-2996670,李東洪,221133831,2211338310,新台幣                 10.0000元,0,1,108380000,－ ,3313,14,韓元翔,元大證券股份有限公司股務代理部,台北市大安區敦化南路二段67號地下一樓,02-25865859,FCD,06-2995586,財務主管,84341994,www.fce.com.tw
安侯建業聯合會計師事務所,"12F., NO.368, GONG-JIAN RD.,SHI-JI DIST., NEW TAIPEI CITY ,TAIWAN",傅泓文,莊鈞維,楊惠強,尼克森,尼克森微電子股份有限公司,1150904,19981008,20070809,張玲妮,ir@niko-sem.com,(02)26495288,楊惠強,90000000,900000000,新台幣                 10.0000元,0,1,0,－ ,3317,24,林訓民,華南永昌綜合證券股份有限公司,台北市民生東路4段54號4樓,(02)27186425,NIKO-SEM,(02)26426789,特別助理,16752651,www.niko-sem.com
安侯建業聯合會計師事務所,"19F, No.79, Sec.1, Sintai 5Th Rd,Sijhih Dist., New Taipi City, Taiwn",區耀軍,王怡文,黃欽雄,建舜電,建舜電子製造股份有限公司,1150904,19770322,20090520,歐耿宏,jem.ir@jem.com.tw,26982628,黃欽基,137582157,1375821570,新台幣                 10.0000元,0,1,0,－ ,3322,28,黃欽基,凱基證券股份有限公司,台北市重慶南路一段2號5樓,23148800,JEM,26984882,總經理,34145259,http://www.jem.com.tw
安侯建業聯合會計師事務所,"No.128, Gong 5th Rd.,Lung Tan,Taoyuan,Taiwan.",辛郁婷,王怡文,李益仁,加百裕,加百裕工業股份有限公司,1150904,19971120,20070625,趙興國,investor@celxpert.com.tw,03-4897320,林才富,99593385,995933850,新台幣                 10.0000元,0,1,0,－ ,3323,25,林建羽,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,02-66365566,Celxpert,03-4899054,財務長,16271936,http://www.celxpert.com.tw
資誠聯合會計師事務所,"No.6,3F,Wu-Chun 3rd Road,Hsinchuang DistrictNew Taipei City, Taiwan",胡智華,林永智,林育申,雙鴻,雙鴻科技股份有限公司,1150904,19980824,20050513,黃晶暄,Kelly_Chen@auras.com.tw,02-89904129,陳志偉,93076837,930768370,新台幣                 10.0000元,0,1,0,－ ,3324,31,陳玉玲,台新證券股務代理部,台北市建國北路一段96號地下一樓,02-25048125,AURAS,02-89901653,董事長室經理,16619628,http://www.auras.com.tw
勤業眾信聯合會計師事務所,"11F, NO.98, HSING DER RD.,SANCHONG DIST., NEW TAIPEI CITY, TAIWAN",李冠豪,林旺生,蕭奕彰,旭品,旭品科技股份有限公司,1150904,19960426,20050815,李榮德,service@casing.com.tw,2999-8825,洪廷宏,110168610,1101686100,新台幣                 10.0000元,0,1,2382089,－ ,3325,25,陳炤正,華南永昌綜合證券股務代理部,台北市松山區民生東路四段54號4樓,2718-6425,Casing,2999-8658,業務部專案經理,96958986,https://www.casing.com.tw
資誠聯合會計師事務所,"14F, No. 306, Sec. 4, Hsin Yi Rd.Taipei  Taiwan,R.O.C",徐明釧,支秉鈞,周世軒,幸康,幸康電子股份有限公司,1150904,19910213,20080124,林碧華,invest@cincon.com.tw,27059083,顏雲曉,48104246,481042460,新台幣                 10.0000元,0,1,0,－ ,3332,28,周美娟,中國信託商業銀行代理部,台北市中正區重慶南路一段83號5樓,02-66365566,CINCON,27086210,財務處協理,86009297,http://www.cincon.com.tw
安侯建業聯合會計師事務所,"NO.18, TZU-CHUNG 3RD. ROAD, NAN-KUNG INDUSTRIAL ZONENANTOU, TAIWAN, R.O.C.",張淑瑩,潘俊名,蔡兆全,泰谷,泰谷光電科技股份有限公司,1150904,20000531,20060627,李甯潔,stock@tekcore.com.tw,049-2261634,黃國師,66568300,665683000,新台幣                 10.0000元,0,1,0,－ ,3339,26,黃書群,福邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,(02)2371-1658,TEKCORE,049-2261626,處長,70774610,www.tekcore.com.tw
資誠聯合會計師事務所,"3F., No. 30-1, Baogao Rd.,Xindian Dist., New Taipei City , Taiwan",馮敏娟,林柏全,盧賀隆,寶德,寶德科技股份有限公司,1150904,19970423,20220323,劉月雲,spokesman@mail.dexin.com.tw <spokesman@mail.dexin.com.tw,02-82271058,盧賀隆,47821648,478216480,新台幣                 10.0000元,0,1,1750000,－ ,3349,25,盧賀隆,富邦綜合證券(股)公司股務代理部,台北市中正區許昌街17號11樓,02-23611300,DEXIN,02-82271093,董事長兼總經理,97483122,www.dexin.com.tw
資誠聯合會計師事務所,"No.8, Nanke 9rd  Rd., ShanHwa Dist.Tainan City, Taiwan R.O.C",田中玉,葉芳婷,黃堂傑,律勝,律勝科技股份有限公司,1150904,19961205,20051208,陳慧汝,roger@microcosm.com.tw,(06)5050672,黃堂傑,70112426,701124260,新台幣                 10.0000元,0,1,0,－ ,3354,28,莊朝欽,台新證券股務代理部,台北市建國北路一段96號地下一樓,02-25048125,MICROCOSM,(06)5050662,執行副總經理,97330127,www.microcosm.com.tw
資誠聯合會計師事務所,"No.1 You 4th Rd.,Youth Industrial District.Yang Mei,Tao Yuan-Hsien, Taiwan .R.O.C.",李燕娜,蔡欣怡,謝明諺,臺慶科,西北臺慶科技股份有限公司,1150904,19921102,20210427,李勇賜,adminis@tai-tech.com.tw,(03)496-4556,謝明良,114936971,1149369710,新台幣                 10.0000元,0,1,7000000,－ ,3357,28,曾志銘,兆豐證券股份有限公司,100台北市中正區忠孝東路二段95號1樓,(02)2327-8988,TAI-TECH,(03)464-1148,協理,86978512,http://www.tai-tech.com.tw
勤業眾信聯合會計師事務所,"6F., No.76, Jhouzih St., Neihu District,Taipei City 114, Taiwan (R.O.C.)",張至誼,彭詩玄,簡剛民,尚立,尚立股份有限公司,1150904,19850406,20060606,洪玉燕,investor@sunnic.com,(02)87976678,簡剛民,76402244,764022440,新台幣                 10.0000元,0,1,0,－ ,3360,29,李秋錦,群益金鼎證券股份有限公司,台北市敦化南路二段97號B2,(02)27023999,SUNNIC,(02)87973566,管理長,09473845,www.sunnic.com
資誠聯合會計師事務所,"No. 14, Keyuan 1st RdXitun  District,Taichung City ,Taiwan .",吳松源,王玉娟,高維亞,先進光,先進光電科技股份有限公司,1150904,19861119,20050906,黃妤婷,vincent.chi@aoet.com.tw,04-25658008,高維亞,147445475,1474454750,新台幣                 10.0000元,0,1,0,－ ,3362,26,紀國隆,台新綜合證券(股)公司股務代理部,台北市中山區建國北路1段96號地下1樓,02-2504-8125,ABILITY,04-25659888,處長,22301825,www.aoet.com.tw
資誠聯合會計師事務所,"No.18, Properity Rd. II, Science-Based Industrial ParkHsinchu, Taiwan, R.O.C.",白淑蒨,李典易,林松福,上詮,上詮光纖通信股份有限公司,1150904,19950614,20110225,王詩捷,ir@foci-cpo.com,03-5644732,胡頂達,113640567,1136405670,新台幣                 10.0000元,0,1,5000000,－ ,3363,27,游雅芳,台新證券股務代理部,台北市建國北路一段96號地下一樓,02-25048125,FOCI,03-5770099,處長,84149462,www.foci.com.tw
資誠聯合會計師事務所,"No. 1, S. 2nd Rd., Qianzhen Dist.,Kaohsiung Taiwan ,ROC",陳晉昌,廖阿甚,束崇萬,典範,台灣典範半導體股份有限公司,1150904,19980714,20051216,郭景玫,rosekuo@ticp.com.tw,07-8159411,曾忠鶴,235324000,2353240000,新台幣                 10.0000元,0,2,0,－ ,3372,24,曾忠鶴,元大證券股份有限公司股務代理部,臺北市大安區敦化南路2段67號地下一樓,02-25865859,TICP,07-8158800,總經理,22101544,http://www.ticp.com.tw
勤業眾信聯合會計師事務所,"1F,NO.3,Industrial E. 9th Rd., Science-Based Industrial ParkHsinChu,Taiwan ,R.O.C.",劉建良,張麗君,周至元,熱映,熱映光電股份有限公司,1150904,20000628,20071213,王元文,roberthsieh@radiantek.com.tw,03-5644170,黃幼謙,47618782,476187820,新台幣                 10.0000元,0,1,0,－ ,3373,31,謝儀孝,兆豐證券股份有限公司股務代理部,台北市忠孝東路二段95號1樓,02-33930898,Radiant,03-6111666,公司治理主管,70590078,Http://www.radiantek.com.tw
勤業眾信聯合會計師事務所,"9FL., No.23, Jilin Road, Zhongli DistrictTaoyuan City, Taiwan, R.O.C.",陳彥君,林心彤,陳家湘,精材,精材科技股份有限公司,1150904,19980911,20150330,馬中文,invest@xintec.com.tw,(03)461-5624,陳家湘,271364316,2713643160,新台幣                 10.0000元,0,2,0,－ ,3374,24,林恕敏,台新證券股務代理部,(104)台北市建國北路一段96號B1,02-2504-8125,Xintec,(03)433-1818,副總經理,16741846,www.xintec.com.tw
資誠聯合會計師事務所,"5F., No.208, Ruiguang Rd., Neihu Dist.,TAIPEI 11491, TAIWAN, ROC",王銘義,廖福銘,洪健峰,彬台,彬台科技股份有限公司,1150904,19810407,20111020,吳福濱,tacct@taibeco.com.tw,(02)8751-2098,洪健峰,38041748,380417480,新台幣                 10.0000元,0,1,0,－ ,3379,05,黃國書,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,(02)6636-5566,TBC,(02)8751-1222,財務長,05087498,www.taibeco.com
安侯建業會計師事務所,"14F.,N0.102,SEC.4,CIVIC BLVD.,DA-AN DISTRICT,TAIPEI CITY 106,TAIWAN,R.O.C.",郭冠纓,簡思娟,潘振成,崇越電,崇越電通股份有限公司,1150904,19940205,20060222,王中彥,larry.wu@topcocorp.com,02-27513939,執行長王財孟,74065542,740655420,新台幣                 10.0000元,0,1,0,－ ,3388,28,吳坤明,台新證券股務代理部,台北市建國北路一段96號B1,02-25048125,TTC,02-27517878,財務長,84752200,HTTP://WWW.TOPCOCORP.COM
致遠聯合會計師事務所,"NO.522,NAN-SHANG RDKUEISHAN HSIANG,  TAOYUAN,  TAIWAN",呂瑞文,厲斌王玉,林永寶,旭軟,旭軟電子科技股份有限公司,1150904,19981012,20060222,李春貴,sf@mail.sunflex.com.tw,03-2220997,蘇政仁,79329659,793296590,新台幣                 10.0000元,0,1,0,－ ,3390,28,黃淑媛,凱基證券(股)公司,台北市重慶南路一段二號五樓,02-23892999,SUNFLEX,03-2220998,行銷處處長,16674213,http://www.sunflex.com.tw
勤業眾信聯合會計師事務所,"8F~1 ,No. 14 , Donghua RD.,HSIN-CHU CITY ,TAIWAN R. O. C.",張雅芸,蔡美貞,溫永宏,漢科,漢科系統科技股份有限公司,1150904,19900808,20070109,謝清泉,novia.hsiao@wholetech.com.tw,03-5210028,謝清泉,73047692,730476920,新台幣                 10.0000元,0,1,0,－ ,3402,31,蕭燕啁,群益金鼎證券股份有限公司,台北市大安區(106)敦化南路二段97號B2,02-2702-3999,WHOLETECH,03-5228823,總管理處副總經理,23830295,www.wholetech.com.tw
勤業眾信聯合會計師事務所,"9 F.-3, No. 285, Sec. 4, Zhongxiao E. Rd., Da’an Dist.,Taipei City, Taiwan, R.O.C.",劉紋伶,戴信維,龍筱芬,奇鈦科,奇鈦科技股份有限公司,1150904,19980113,20220908,楊秀芳,ir@chitec.com,27006608,龍筱芬,33716085,337160850,新台幣                 10.0000元,0,1,0,－ ,3430,21,林婷婷,凱基證券股份有限公司股務代理部,臺北市重慶南路一段2號5樓,23892999,CHITEC,27006678,財會協理,16297788,www.chitec.com
資誠聯合會計師事務所,"No.11,Alley 21,Lane 20,Dashing Rd.,Luchu Dist,Taoyuan City 338,Taiwan,R.O.C.Taoyuan City,Taiwan",李燕娜,蔣承翰,簡豊輝,哲固,哲固資訊科技股份有限公司,1150904,19930505,20080128,陳韻如,acula@acula.com.tw,03-3233355,簡豊輝,35754740,357547400,新台幣                 10.0000元,0,1,0,－ ,3434,26,簡盛崧,華南永昌綜合證券股份有限公司,台北市松山區民生東路四段54號4樓,02-2718-6425,ACULA,03-3135577,執行副總經理,84354060,http://www.acula.com
資誠聯合會計師事務所,"7F-1, No 1, Taiyuan 2nd St., Tai Yuen Hi-Tech Industrial Park, Zhubei City,Hsinchu County 302082, Taiwan, R.O.C.",謝智政,蔡欣怡,吳錦川,類比科,台灣類比科技股份有限公司,1150904,19990325,20060719,卓慧淨,ir@aatech.com.tw,03-6209598,林登財,47165815,471658150,新台幣                 10.0000元,0,2,0,－ ,3438,24,林登財,國票綜合證券股份有限公司,(105411) 台北市南京東路5段188號15樓,(02) 25288988,AAT,03-6209588,總經理,16795912,http://www.aat-ic.com
勤業眾信會計師事務所,"NO.6-4, DAW-SHIANG  ROAD, TSAO-TON TOWN,NAN-TOU  HSEN, TAIWAN R.O.C.",劉力維,許瑞隆,陳忠政,聯一光電,聯一光電股份有限公司,1150904,19840327,20101004,職缺待補,annie@t-unique.com,049-2367987,陳忠禮,40039920,400399200,新台幣                 10.0000元,0,1,0,－ ,3441,26,陳忠政,福邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,(02)2371-1658,UNIQUE,049-2323825,董事長,52888437,www.t-unique.com
勤業眾信聯合會計師事務所,"Room 5E, No.767, Sec 4, Taiwan Blvd.,Taichung,Taiwan",許瑞隆,蔣淑菁,張濬暉,利機,利機企業股份有限公司,1150904,19930507,20080926,邱智芳,anita@niching.com.tw,(04)23588968,黃道景,44996877,449968770,新台幣                 10.0000元,0,1,0,－ ,3444,29,盧修滿,永豐金證券股份有限公司,台北市博愛路17號3樓,(02)23816288,NICHING,(04)23588966,營運支援處處長,84355650,www.niching.com.tw
安侯建業聯合會計師事務所,"10F-1, No. 268, Liancheng Rd.,Junghe District, New Taipei City,Taiwan",楊樹芝,洪士剛,鄒嘉駿,由田,由田新技股份有限公司,1150904,19920523,20071227,林慧盆,fin.acct@utechzone.com.tw,02-8226-9822,張文杰,59850750,598507500,新台幣                 10.0000元,0,1,0,－ ,3455,26,張文杰,台新綜合證券(股)公司股務代理部,台北市中山區建國北路1段96號地下1樓,02-2504-8125,UTECHZONE,02-8226-2088,總經理,86710418,http://www.utechzone.com.tw
資誠聯合會計師事務所,"Rm1,19F, No. 251 Minquan First Road, Xinxing District, Kaohsiung City 800,TWKaohsiung City 800, Taiwan (R.O.C.)",廖阿甚,王駿凱,邢家蓁,進泰電子,進泰電子科技股份有限公司,1150904,19930409,20080128,黃宸庭,official@naeaudio.com,07-227-5988,邢家蓁,42329862,423298620,新台幣                 10.0000元,0,1,0,－ ,3465,31,李智賢,兆豐證券股務代理部,台北市忠孝東路二段95號1樓,(02)3393-0898,NAE,07-229-1788,財務長,84232790,https://www.naeaudio.com
安侯建業聯合會計師事務所,"8F, No. 123-1 Hsing De RD. Sanchung District,New Taipei City. Taiwan ROC",張淑瑩,潘俊名,湯棋同,德晉,德晉科技股份有限公司,1150904,19820323,20060517,黃俊雄,spoker@skardin.com.tw,02-85123086,劉佳峰,77892073,778920730,新台幣                 10.0000元,0,1,0,－ ,3466,27,劉佳峰,兆豐證券股份有限公司,台北市中正區忠孝東路二段95號1樓,02-33930898,SKARDIN,02-85123068,總經理,12375925,https://www.skardin.com/zh/%e9%a6%96%e9%a0%81/
勤業眾信聯合會計師事務所,"No. 56, Chang'an Rd.Hsinchu County 303, Taiwan",趙永祥,劉明賢,賀士郡,台灣精材,台灣精材股份有限公司,1150904,19970911,20250325,陳永忠,ir@forcera.com.tw,03-5696801,王元星,31106569,311065690,新台幣                 10.0000元,0,2,0,－ ,3467,24,王元星,元大證券股份有限公司股務代理部,台北市大安區敦化南路2段67號地下一樓,02-25865859,Forcera,03-5696800,總經理,16218308,https://www.forcera.com.tw
安侯建業聯合會計師事務所,"7F, 228, Lian-cheng Road,Chung Ho City, Taipei 235, Taiwan",辛郁婷,劉振興,劉琍綺,安勤,安勤科技股份有限公司,1150904,20000719,20100608,陳宛寧,spokesman@avalue.com,(02)66218551,張嘉哲,72630164,726301640,新台幣                 10.0000元,0,1,0,－ ,3479,25,徐崇恒,台新綜合證券(股)公司股務代理部,台北市建國北路一段96號地下一樓,(02)25048125,Avalue,(02)82262345,財務長,70604376,www.avalue.com
勤業眾信聯合會計師事務所,"2F, NO.31, Hsin Tai Road, Chu-Bei City ,Hsinchu,TaiwanR.O.C.",蔡美貞,林心彤,饒振奇,力致,力致科技股份有限公司,1150904,19971113,20061218,王維鵬,kellylin@forcecon.com,03-5512039,王維鵬,99049257,990492570,新台幣                 10.0000元,0,1,0,－ ,3483,25,林秀勤,中國信託商業銀行代理部,台北市中正區重慶南路一段83號5樓,02-66365566,FCN,03-5512035,協理,16266820,http://www.forcecon.com
勤業眾信聯合會計師事務所,"Unit 2, 7th floor, No. 888 Jingguo RoadTaoyuan, Taiwan, R.O.C",辛宥呈,翁雅玲,曾文政,崧騰,崧騰企業股份有限公司,1150904,19920822,20071109,李香蓉,sol_stock@solteam.com.tw,03-3162166,張茂強,78828189,788281890,新台幣                 10.0000元,0,1,0,－ ,3484,28,邱素卿,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,02-66365566,SOLTEAM,03-3162168,管理總處資深副總經理,86834614,www.solteam.com.tw
勤業眾信聯合會計師事務所,"NO.16,  LANE 760,  JIA DUNG ROAD.,Bade Dist.,Taoyuan City, TAIWAN, R.O.C",洪偉倫,虞成全,周政均,敘豐,敘(余+卜+又)豐企業股份有限公司,1150904,19940713,20260506,蕭雅娟,service@efm.com.tw,(03)3764060,杜松穎,38500850,385008500,新台幣                 10.0000元,0,1,0,－ ,3485,28,杜松穎,群益金鼎證券股份有限公司,台北市敦化南路二段97號B2,(02)27023999,EF,(03)3646445,總經理,84995500,https://www.efm.com.tw/
資誠聯合會計師事務所,"NO.50, MINQUAN RD.,LUZHU DISTRICT, TAOYUAN, TAIWAN,R.O.C.",陳&#21843;東,林佳鴻,林坡圳,森寶,森寶開發股份有限公司,1150904,19910608,20070929,饒銀鳳,public@sunbrothers.com.tw,(03)316-4277,陳秀錦,90452155,904521550,新台幣                 10.0000元,0,1,0,－ ,3489,14,陳淅滄,群益金鼎證券(股)公司股務代理部,台北市敦化南路二段97號地下二樓,02-2702-3999,Sun Brothers,(03)326-7897,副總經理,86140894,http://www.sunbrothers.com.tw
德昌聯合會計師事務所,"No.77, Zhongshan Rd.Tucheng Dist., New Taipei City 236, ROC",陳秀莉,陳裕勳,王祥亨,單井,單井工業股份有限公司,1150904,19890720,20071015,林佳穎,IR@singlewell.com.tw,02-22686351,游孟哲,55006435,550064350,新台幣                 10.0000元,0,1,0,－ ,3490,26,游孟哲,永豐金證券股份有限公司,台北市中正區博愛路17號3樓,(02)2381-6288,singlewell,02-22686191,總經理,23393652,www.singlewell.com.tw
勤業眾信聯合會計師事務所,"#1 Gongjian Road, Cidu DistrictKeelung City,Taiwan, R.O.C 206",莊碧玉 會計師,蔡侑玲 會計師,陳淑敏,昇達科,昇達科技股份有限公司,1150904,19990907,20080103,劉若涵,simon@umt-tw.com,(02)2452-7722,吳東義,68805125,688051250,新台幣                 10.0000元,0,1,0,－ ,3491,27,郭俊良,群益金鼎證券股份有限公司,台北市敦化南路2段97號B2,(02)2702-3999,UMT,(02)2452-5533,執行副總經理,16999508,www.umt-tw.com
安侯建業聯合會計師事務所,"10F, NO. 69, SEC.2, CHUNG CHENG E. RD.TAMSUI, TAIPEI HSIEH, TAIWAN, R.O.C.",許淑敏,江曉苓,尚元良,長盛,長盛科技股份有限公司,1150904,19940426,20150518,吳淑惠,philice.yang@actt.co,(02)28097786,葉文麒,35531600,355316000,新台幣                 10.0000元,0,1,0,－ ,3492,28,楊素芬,亞東證券股份有限公司,新北市板橋區新站路16號13樓,(02)77531699,ACT,(02)88091060,稽核主管,84846066,http://www.actt.co
